given,family,sequence,affiliation,DOI
Ali Gul,Khushik,additional,"University of Sindh, Jamshoro, Pakistan",10.1177/21582440211023423
Muhammad Akram,Gilal,additional,"University of Sindh, Jamshoro, Pakistan",10.1177/21582440211023423
Zhao,Yongliang,additional,"Yancheng Institute of Technology, China",10.1177/21582440211023423
Bai,Xiaoping,first,"Xi’an University of Architecture and Technology, China",10.1177/21582440211061536
Pu,Tao,additional,"Xi’an University of Architecture and Technology, China",10.1177/21582440211061536
Sherrill W.,Hayes,first,"Kennesaw State University, GA, USA",10.1177/21582440211058193
Jennifer L.,Priestley,additional,"Kennesaw State University, GA, USA",10.1177/21582440211058193
Brian A.,Moore,additional,"Kennesaw State University, GA, USA",10.1177/21582440211058193
Herman E.,Ray,additional,"Kennesaw State University, GA, USA",10.1177/21582440211058193
Thuy Thu,Nguyen,first,"National Economics University, Hanoi, Vietnam",10.1177/21582440211032174
Linh Thi Phuong,Nguyen,additional,"National Economics University, Hanoi, Vietnam",10.1177/21582440211032174
Hoa Thi Thanh,Phan,additional,"National Economics University, Hanoi, Vietnam",10.1177/21582440211032174
Anh Trong,Vu,additional,"National Economics University, Hanoi, Vietnam",10.1177/21582440211032174
Fuqiang,Dai,first,"Chongqing Technology and Business University, China",10.1177/21582440211058719
Hao,Liu,additional,"Chongqing Technology and Business University, China",10.1177/21582440211058719
Xia,Zhang,additional,"Chongqing Technology and Business University, China",10.1177/21582440211058719
Qing,Li,additional,"Chongqing Technology and Business University, China",10.1177/21582440211058719
Bas,Hooijmaaijers,first,"East China Normal University, Shanghai, China + KU Leuven, Belgium",10.1177/21582440211054128
Manuel,Jaén-García,first,"University of Almería, Spain",10.1177/21582440211003577
Muhammad,Taufiq,first,"Institut Teknologi Bandung, Indonesia",10.1177/21582440211022739
,Suhirman,additional,"Institut Teknologi Bandung, Indonesia",10.1177/21582440211022739
Benedictus,Kombaitan,additional,"Institut Teknologi Bandung, Indonesia",10.1177/21582440211022739
Fernando,Barrios Aguirre,first,"School of Management, Business and Economics sciences, Fundación Universitaria del Área Andina, Bogotá, Colombia",10.1177/21582440211040810
Diego A.,Forero,additional,"School of Health and Sport Sciences, Fundación Universitaria del Área Andina, Bogotá, Colombia",10.1177/21582440211040810
Martha Patricia,Castellanos Saavedra,additional,"Fundación Universitaria del Área Andina, Bogotá, Colombia",10.1177/21582440211040810
Sandra Yaneth,Mora Malagón,additional,"Master in Economics, Universidad de los Andes, Bogotá, Colombia",10.1177/21582440211040810
Fujun,Lai,first,"Yunnan University of Finance and Economics, Kunming, China",10.1177/21582440211061377
Sha,Zhu,additional,"Yunnan University of Finance and Economics, Kunming, China",10.1177/21582440211061377
Qingxiang,Feng,additional,"Sun Yat-sen University, Guangzhou, China",10.1177/21582440211061377
Yi,Yao,additional,"Renmin University of China, Beijing, China",10.1177/21582440211061377
Yanbo,Zhang,first,"School of Public Policy & Management, China University of Mining & Technology, Xuzhou, China + School of Management Engineering & Business, Hebei University of Engineering, Handan, China",10.1177/21582440211003570
Yibao,Wang,additional,"School of Public Policy & Management, China University of Mining & Technology, Xuzhou, China",10.1177/21582440211003570
Ahmad Bayiz,Ahmad,additional,"Shanghai Jiao Tong University, Shanghai, China + University of Raparin, Sulaymaniyah, Kurdistan Region of Iraq + University of Kurdistan Hewler, Hewler, Kurdistan Region of Iraq",10.1177/21582440211003570
Ashfaq Ahmad,Shah,additional,"School of Management Science and Engineering, Ministry of Education & Collaborative Innovation Center on Forecast and Evaluation of Meteorological Disasters (CIC- FEMD), Nanjing University of Information Science & Technology, Nanjing, China",10.1177/21582440211003570
Wen,Qing,additional,"School of Public Policy & Management, China University of Mining & Technology, Xuzhou, China",10.1177/21582440211003570
Fahim,Afzal,first,"Business School of Hohai University, Nanjing, People’s Republic of China",10.1177/21582440211005758
Pan,Haiying,additional,"Business School of Hohai University, Nanjing, People’s Republic of China",10.1177/21582440211005758
Farman,Afzal,additional,"Institute of Business and Management, University of Engineering and Technology, Lahore, Pakistan",10.1177/21582440211005758
Asif,Mahmood,additional,"Namal Institute, Mianwali, Pakistan",10.1177/21582440211005758
Amir,Ikram,additional,"Institute of Business and Management, University of Engineering and Technology, Lahore, Pakistan",10.1177/21582440211005758
Camelia,Ilie,first,"INCAE Business School, La Garita, Costa Rica",10.1177/21582440211018468
Abel,Monfort,additional,"ESIC Business & Marketing School, Madrid, Spain",10.1177/21582440211018468
Gaston,Fornes,additional,"EAE Business School, Barcelona, Spain",10.1177/21582440211018468
Guillermo,Cardoza,additional,"INCAE Business School, La Garita, Costa Rica",10.1177/21582440211018468
Muhammad Yaseen,Bhutto,first,"Business School, Shandong Jianzhu University, Jinan, China",10.1177/21582440221078289
Yasir Ali,Soomro,additional,"Faculty of Economics and Administration, King Abdulaziz University, Jeddah, Saudi Arabia",10.1177/21582440221078289
Hailan,Yang,additional,"Business School, Shandong Jianzhu University, Jinan, China",10.1177/21582440221078289
Hafiz Muhammad Zahid,Iqbal,first,"Department of English and Literary Studies, University of Management and Technology, Lahore, Pakistan",10.1177/21582440221078312
Adiwan,Aritenang,first,"Institut Teknologi Bandung, Indonesia",10.1177/21582440211044178
Goitse,Ookeditse,first,"University of Botswana, Gaborone, Botswana",10.1177/21582440211059166
Sourav,Mukhopadhyay,additional,"University of Botswana, Gaborone, Botswana",10.1177/21582440211059166
Nicholas U.,Asogwa,first,"University of Nigeria, Nsukka, Nigeria",10.1177/21582440211041076
Christopher I.,Asogwa,additional,"University of Nigeria, Nsukka, Nigeria",10.1177/21582440211041076
